Company Name, ,Class 10 Percentage,Class 12 Percentage,Graduation Percentage,Degree,Additional Qualifications,Extra Courses,Specialisation,Languages Known,Skills,Past Experience (months),Preferred Work Location,Achievements,Projects,Competitions,Publications,Patents,Internship Stipend (?/month),Internship Duration (months),Department,Internship Type,Contact Email,Contact Phone,Application Deadline
POWER GRID CORPORATION OF INDIA LIMITED,"Gurugram, Haryana",79,93.49,64.13,Bsc.,Certified Data Analyst,SAP Basics,Electronics,English; Punjabi,JavaScript; C++; Marketing; Sales; Machine Learning,0,"Chennai, Tamil Nadu",No notable achievements,Customer segmentation analysis,Hackathon Winner,Journal article on Renewable Energy,No patents,32977,3,Engineering,Hybrid,faiyazbedi@singh.com,4170080967,2025-11-09
TATA SONS PRIVATE LIMITED,"Bengaluru, Karnataka",92,71.26,65.94,B.Com,Lean Six Sigma Yellow Belt,Coursera: Data Science,Civil,Hindi,Machine Learning; Power BI; MS Excel; Data Analysis; HTML/CSS,6,"New Delhi, Delhi",Published a project report,Sales forecasting model,Case Study Competition,Whitepaper on Supply Chain,Patent on Process Optimization,28398,5,HR,Onsite,ranbir54@dhillon.com,3086180699,2026-01-27
WIPRO LIMITED,"Kolkata, West Bengal",72,90.48,64.08,Diploma,Lean Six Sigma Yellow Belt,AWS Fundamentals,Civil,Tamil; Hindi,Tableau; C++,6,"Hyderabad, Telangana",Developed a forecasting model,IoT based monitoring system; NLP sentiment analysis on reviews,Design Challenge Participant,No publications,Patent pending on Algorithm,6055,9,Engineering,Hybrid,ritvikzachariah@chopra.biz,659092106,2026-01-01
HCL TECHNOLOGIES LIMITED,"Kolkata, West Bengal",73,61.77,80.38,B.E.,Lean Six Sigma Yellow Belt,,Data Science,Tamil,R; SQL; Machine Learning; HTML/CSS; Communication,0,"Gurugram, Haryana",No notable achievements,Chatbot for FAQs,Hackathon Winner,No publications,No patents,344,6,Consulting,Remote,nishith50@johal.com,1228136010,2026-03-03
HINDUSTAN ZINC LIMITED,"Bengaluru, Karnataka",88,56.06,54.71,B.Com,Certified Data Analyst,None,Biotechnology,Bengali,SQL; Tableau; Marketing; Problem Solving,0,"Noida, Uttar Pradesh",Published a project report,Energy consumption optimization project,Coding Contest Top 10,Magazine article on Finance,Patent on Sensor Design,30628,2,Design,Hybrid,baiju24@kari.com,5100193958,2026-03-09
RELIANCE JIO INFOCOMM LIMITED,"Ahmedabad, Gujarat",98,70.38,85.75,B.E.,Cisco CCNA,,Data Science,Oriya; Kannada; Punjabi,Tableau; Python,0,"Visakhapatnam, Andhra Pradesh",No notable achievements,Customer segmentation analysis,Coding Contest Top 10,Conference Paper on ML,No patents,12468,1,Finance,Remote,gdevan@singh.com,5799676804,2025-12-10
MAHANADI COALFIELDS LIMITED,"Hyderabad, Telangana",88,79.2,61.36,Bsc.,None,,Mechanical,Telugu,Tableau; Communication; HTML/CSS; C++; Customer Service,0,"Bengaluru, Karnataka",Won college hackathon,Mobile app for local services,Hackathon Winner,Conference Paper on ML,No patents,33276,1,HR,Hybrid,akarsh70@kumer.net,513377599,2025-10-12
NMDC LIMITED,"Noida, Uttar Pradesh",67,66.63,62.09,B.Tech,Certified Data Analyst,None,Electrical,English; Gujarati; Kannada,R; JavaScript; Python,24,"Pune, Maharashtra",Internship at local startup,Chatbot for FAQs,Hackathon Winner,Whitepaper on Supply Chain,Patent on Sensor Design,10249,2,Design,Remote,xbarad@sami.info,5597724237,2025-11-21
HINDUSTAN UNILEVER LIMITED,"Thiruvananthapuram, Kerala",86,93.68,83.46,B.E.,Lean Six Sigma Yellow Belt,Google: Digital Marketing; Advanced Excel,Data Science,Telugu; Oriya; Punjabi,Java; JavaScript; MS Excel; Marketing; C++,24,"Bengaluru, Karnataka",Published a project report,IoT based monitoring system; Sales forecasting model,Math Olympiad State Level,Magazine article on Finance,Patent pending on Algorithm,20646,8,Engineering,Onsite,ishaanlata@sood-seshadri.net,9879696699,2025-10-31
REC LIMITED,"Hyderabad, Telangana",84,73.3,84.97,Bsc.,Oracle Certified,AWS Fundamentals; Coursera: Data Science,Civil,Hindi; Punjabi,Marketing; Customer Service; Problem Solving,24,"New Delhi, Delhi",No notable achievements,NLP sentiment analysis on reviews,Case Study Competition,Conference Paper on ML,No patents,7475,5,Engineering,Hybrid,vbose@srinivasan.com,8498953386,2025-11-05
JSW STEEL LIMITED,"Lucknow, Uttar Pradesh",99,88.41,65.09,B.Sc.,None,Udemy: Web Development; IBM: Data Analyst,Computer Science,Kannada,Problem Solving; MS Excel,6,"Ahmedabad, Gujarat",Internship at local startup,Chatbot for FAQs; E-commerce recommendation engine,Design Challenge Participant,Magazine article on Finance,Patent on Process Optimization,16161,12,Data Analytics,Hybrid,kadakiaaarav@char-warrior.biz,2684966050,2025-12-21
GAIL (INDIA) LIMITED,"Chennai, Tamil Nadu",91,97.99,76.18,B.A.,Oracle Certified,None,Biotechnology,Tamil; Gujarati; Punjabi,JavaScript; Marketing,6,"Thiruvananthapuram, Kerala",Developed a forecasting model,IoT based monitoring system,Design Challenge Participant,Journal article on Renewable Energy,Patent on Process Optimization,28052,1,Finance,Hybrid,raunak67@srivastava.com,3619590024,2025-11-08
COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Pune, Maharashtra",88,79.02,81.51,BBA,Oracle Certified,,Electrical,Punjabi,Problem Solving; SQL,0,"Thiruvananthapuram, Kerala",Developed a forecasting model,Energy consumption optimization project; Mobile app for local services,Hackathon Winner,Magazine article on Finance,Patent on Sensor Design,32944,12,Marketing,Onsite,kiaansani@subramanian-kara.biz,987688644,2026-01-14
LARSEN AND TOUBRO LIMITED,"Kolkata, West Bengal",62,88.3,77.78,B.A.,Financial Modeling Certificate,,Biotechnology,Telugu; Bengali; Kannada,Customer Service; R,24,"Chennai, Tamil Nadu",Internship at local startup,IoT based monitoring system; Energy consumption optimization project,Case Study Competition,Journal article on Renewable Energy,Patent pending on Algorithm,22064,12,HR,Onsite,bchand@din-agarwal.com,54761634,2026-01-14
AXIS BANK LIMITED,"Gurugram, Haryana",62,85.54,76.82,B.Com,Cisco CCNA,None,Civil,Oriya; Malayalam,Data Analysis; Customer Service; C++,24,"Ahmedabad, Gujarat",Published a project report,Energy consumption optimization project,Case Study Competition,Journal article on Renewable Energy,Patent on Sensor Design,6259,12,Data Analytics,Hybrid,anay23@thakur-grewal.com,7082455701,2025-11-26
NORTHERN COALFIELDS LIMITED,"Ahmedabad, Gujarat",90,56.76,74.63,B.Com,Lean Six Sigma Yellow Belt,NPTEL: Machine Learning,Electronics,Kannada; Gujarati,JavaScript; Communication; Python; SQL,0,"Noida, Uttar Pradesh",Published a project report,Mobile app for local services,Case Study Competition,Conference Paper on ML,Patent pending on Algorithm,14925,6,Marketing,Remote,zcherian@bedi-dara.com,964396073,2026-01-29
OIL INDIA LIMITED,"Hyderabad, Telangana",80,99.8,83.53,B.Com,Cisco CCNA,NPTEL: Machine Learning,Finance,Hindi; English; Tamil,Communication; Java,24,"New Delhi, Delhi",Developed a forecasting model,E-commerce recommendation engine,Business Plan Runner-up,Conference Paper on ML,Patent on Process Optimization,18883,6,Design,Onsite,pkhare@dua.com,26545617,2025-10-19
HINDUSTAN PETROLEUM CORPORATION LIMITED,"Visakhapatnam, Andhra Pradesh",80,73.02,70.33,B.E.,Financial Modeling Certificate,,Data Science,Punjabi; English,R; HTML/CSS; Machine Learning; Python; MS Excel,24,"Pune, Maharashtra",Developed a forecasting model,IoT based monitoring system,Case Study Competition,Magazine article on Finance,Patent on Process Optimization,27445,9,Marketing,Hybrid,myra03@deep.net,5059356618,2025-11-25
JINDAL STEEL & POWER LIMITED,"Visakhapatnam, Andhra Pradesh",86,75.77,57.23,B.Com,Lean Six Sigma Yellow Belt,,Computer Science,Marathi; English; Oriya,MS Excel; Tableau,6,"Hyderabad, Telangana",Internship at local startup,Energy consumption optimization project,Case Study Competition,Magazine article on Finance,Patent on Process Optimization,29596,5,Marketing,Hybrid,rattitushar@raju-lal.net,826005340,2026-01-02
RELIANCE RETAIL LIMITED,"Pune, Maharashtra",85,68.19,71.94,B.A.,Oracle Certified,,Electronics,Hindi; Gujarati,C++; R; Machine Learning; HTML/CSS; Sales,0,"Mumbai, Maharashtra",Developed a forecasting model,Sales forecasting model,Case Study Competition,No publications,Patent on Process Optimization,20397,12,Marketing,Remote,gsachdeva@hora.com,4505309417,2025-10-18
NUCLEAR POWER CORPORATION OF INDIA LIMITED,"Pune, Maharashtra",93,75.32,51.46,B.Com,Financial Modeling Certificate,Advanced Excel,Biotechnology,Bengali; Malayalam; Oriya,Java; JavaScript; MS Excel; C++; Customer Service,6,"Gurugram, Haryana",Developed a forecasting model,NLP sentiment analysis on reviews; Energy consumption optimization project,Case Study Competition,Journal article on Renewable Energy,Patent on Process Optimization,16848,7,Operations,Onsite,elakshi80@choudhry.com,5188286745,2026-01-19
TECH MAHINDRA LIMITED,"Jaipur, Rajasthan",73,75.33,72.81,B.Com,Cisco CCNA,,Electrical,Oriya,R; MS Excel; Communication,6,"Hyderabad, Telangana",No notable achievements,Automated invoice processing,Coding Contest Top 10,No publications,Patent pending on Algorithm,6132,10,Operations,Remote,kabir92@ben.com,3010884339,2025-12-06
POWER FINANCE CORPORATION LIMITED,"Lucknow, Uttar Pradesh",89,98.59,65,B.Sc.,None,,Finance,Tamil; Malayalam; Telugu,R; HTML/CSS; Java,0,"Gurugram, Haryana",Developed a forecasting model,Customer segmentation analysis; Chatbot for FAQs,Case Study Competition,Magazine article on Finance,Patent on Process Optimization,240,1,Consulting,Hybrid,indranskar@seth.com,1303637430,2026-03-05
ULTRATECH CEMENT LIMITED,"Bhopal, Madhya Pradesh",74,66.8,50.08,Bsc.,Oracle Certified,IBM: Data Analyst; Google: Digital Marketing,Computer Science,Telugu,Problem Solving; Power BI; Customer Service,6,"New Delhi, Delhi",Developed a forecasting model,Energy consumption optimization project; Mobile app for local services,Case Study Competition,Conference Paper on ML,No patents,29670,1,Data Analytics,Hybrid,gabayuvraj@sarraf.com,2350042928,2025-11-23
INDUSIND BANK LTD.,"Mumbai, Maharashtra",70,73.25,81.85,Diploma,Cisco CCNA,Google: Digital Marketing,Finance,Bengali; Oriya,Data Analysis; JavaScript,6,"Bhopal, Madhya Pradesh",Published a project report,Chatbot for FAQs,None,Whitepaper on Supply Chain,Patent pending on Algorithm,32718,2,IT,Onsite,mammenarhaan@randhawa-yadav.com,467972841,2026-02-01
NHPC LIMITED,"Thiruvananthapuram, Kerala",69,64.89,66,BBA,Oracle Certified,Google: Digital Marketing,Computer Science,Kannada,Python; HTML/CSS,0,"Thiruvananthapuram, Kerala",Developed a forecasting model,Sales forecasting model,None,Conference Paper on ML,Patent on Process Optimization,14976,2,HR,Remote,madanuthkarsh@behl.com,4813072617,2025-11-27
STEEL AUTHORITY OF INDIA LIMITED,"Gurugram, Haryana",86,61.04,85.74,B.E.,Financial Modeling Certificate,IBM: Data Analyst,Biotechnology,Telugu; Bengali,Power BI; Customer Service,0,"Jaipur, Rajasthan",Internship at local startup,Energy consumption optimization project,Coding Contest Top 10,Whitepaper on Supply Chain,Patent pending on Algorithm,24234,6,Operations,Onsite,adviksinha@mangal-badal.biz,339269683,2025-11-20
MARUTI SUZUKI INDIA LIMITED,"Mumbai, Maharashtra",89,84.15,78.08,B.Com,Lean Six Sigma Yellow Belt,NPTEL: Machine Learning; Advanced Excel,Biotechnology,Oriya; Punjabi,HTML/CSS; Power BI; R; Sales,6,"Ahmedabad, Gujarat",Developed a forecasting model,E-commerce recommendation engine; Chatbot for FAQs,Business Plan Runner-up,Whitepaper on Supply Chain,No patents,10540,4,Operations,Remote,oorja62@sane-tank.com,38167777,2025-12-06
VEDANTA LIMITED,"Noida, Uttar Pradesh",69,88.23,63.63,B.E.,Lean Six Sigma Yellow Belt,,Chemical,Hindi; Kannada; Gujarati,Java; C++; HTML/CSS,0,"Ahmedabad, Gujarat",Won college hackathon,NLP sentiment analysis on reviews; Sales forecasting model,Math Olympiad State Level,No publications,Patent on Sensor Design,6841,1,R&D,Onsite,kairakhare@garg.com,3312876562,2026-02-20
BHARAT PETROLEUM CORPORATION LIMITED,"Ahmedabad, Gujarat",90,76,76.15,Bsc.,Lean Six Sigma Yellow Belt,SAP Basics,Electronics,Oriya,R; JavaScript; C++,0,"Chennai, Tamil Nadu",Won college hackathon,Customer segmentation analysis; Automated invoice processing,Math Olympiad State Level,No publications,Patent on Sensor Design,320,1,Marketing,Remote,kartik86@shankar-raj.com,4221564877,2025-11-18
SERUM INSTITUTE OF INDIA PRIVATE LIMITED,"Gurugram, Haryana",98,98.77,81.96,B.A.,Certified Data Analyst,None,Finance,Punjabi; Telugu; Marathi,Problem Solving; Python,24,"Gurugram, Haryana",Internship at local startup,IoT based monitoring system; Automated invoice processing,None,Whitepaper on Supply Chain,No patents,34727,1,Consulting,Onsite,uiyer@ramachandran.com,2712254955,2026-03-03
BAJAJ FINANCE LIMITED,"Chennai, Tamil Nadu",79,64.64,76.09,B.Com,Lean Six Sigma Yellow Belt,,Biotechnology,English; Marathi; Malayalam,Machine Learning; SQL; Java,12,"Gurugram, Haryana",No notable achievements,Chatbot for FAQs; IoT based monitoring system,Coding Contest Top 10,No publications,Patent on Sensor Design,22117,8,Design,Onsite,armaan66@dutt.biz,1655576555,2025-11-12
MAHINDRA AND MAHINDRA LIMITED,"Pune, Maharashtra",72,95.57,74.8,B.A.,Lean Six Sigma Yellow Belt,,Electronics,Kannada; Malayalam; Oriya,Sales; Python; Data Analysis; JavaScript,12,"Lucknow, Uttar Pradesh",Won college hackathon,NLP sentiment analysis on reviews,Coding Contest Top 10,Whitepaper on Supply Chain,Patent on Sensor Design,21553,8,Design,Hybrid,dhaliwalvaibhav@mallick-acharya.com,7590837631,2026-01-15
HINDUSTAN AERONAUTICS LIMITED,"Chennai, Tamil Nadu",88,62.41,88.03,B.Sc.,Cisco CCNA,Advanced Excel; IBM: Data Analyst,Finance,Marathi,Python; Power BI; Customer Service,12,"Gurugram, Haryana",Won college hackathon,Chatbot for FAQs; Customer segmentation analysis,None,Magazine article on Finance,Patent pending on Algorithm,24552,8,Consulting,Remote,aradhya39@dass.net,2925817419,2026-01-18
SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,"Gurugram, Haryana",68,58.61,76.61,B.A.,Oracle Certified,IBM: Data Analyst,Electronics,Marathi; Malayalam,Sales; Problem Solving; Power BI,0,"Bhopal, Madhya Pradesh",Internship at local startup,Customer segmentation analysis,Design Challenge Participant,Journal article on Renewable Energy,Patent on Sensor Design,6052,4,Data Analytics,Hybrid,ndhar@bir.com,6669763976,2026-02-03
BAJAJ AUTO LIMITED.,"Gurugram, Haryana",98,83.13,66.07,B.A.,Oracle Certified,None,Computer Science,Oriya; Marathi,HTML/CSS; Machine Learning; C++,0,"Chennai, Tamil Nadu",Published a project report,Chatbot for FAQs; Automated invoice processing,Business Plan Runner-up,Journal article on Renewable Energy,Patent pending on Algorithm,17215,2,Marketing,Hybrid,kavya88@rajagopalan.com,52186252,2025-11-16
KOTAK MAHINDRA BANK LIMITED,"Mumbai, Maharashtra",97,63.22,77.47,B.E.,Financial Modeling Certificate,Udemy: Web Development; Advanced Excel,Marketing,Telugu,Sales; Customer Service; Machine Learning; Communication,12,"Visakhapatnam, Andhra Pradesh",Published a project report,IoT based monitoring system; Customer segmentation analysis,Hackathon Winner,Journal article on Renewable Energy,Patent pending on Algorithm,26708,12,R&D,Remote,amira30@gill.biz,4008473229,2025-10-16
ACCENTURE SOLUTIONS PRIVATE LIMITED,"Bengaluru, Karnataka",83,93.09,82.2,B.Sc.,Certified Data Analyst,,Civil,Marathi,Communication; C++; Power BI; Marketing,6,"Hyderabad, Telangana",No notable achievements,Energy consumption optimization project; IoT based monitoring system,Business Plan Runner-up,No publications,Patent on Process Optimization,32266,9,IT,Onsite,hirandatta@upadhyay-sami.com,3070109753,2026-01-05
SHRIRAM FINANCE LIMITED,"Gurugram, Haryana",73,57.82,87.33,B.Com,Financial Modeling Certificate,,Computer Science,Marathi; Tamil; Malayalam,Tableau; C++,12,"Jaipur, Rajasthan",Developed a forecasting model,Sales forecasting model,Coding Contest Top 10,Magazine article on Finance,No patents,275,10,Data Analytics,Onsite,ogill@hora.org,5252624983,2026-03-01
MUTHOOT FINANCE LIMITED,"Bengaluru, Karnataka",63,99.81,86.1,B.Com,None,Coursera: Data Science,Computer Science,Bengali; Oriya,Marketing; SQL; HTML/CSS; MS Excel,24,"Ahmedabad, Gujarat",Won college hackathon,Energy consumption optimization project,Business Plan Runner-up,Whitepaper on Supply Chain,Patent on Sensor Design,9475,3,HR,Hybrid,mamooty65@gole-lad.org,6801857108,2026-01-30
RUNGTA SONS PVT LTD,"Kolkata, West Bengal",63,99.42,51.08,B.A.,Cisco CCNA,,Biotechnology,English,Tableau; Marketing; Communication; R,12,"Bhopal, Madhya Pradesh",Won college hackathon,Customer segmentation analysis,Case Study Competition,Conference Paper on ML,No patents,16234,4,R&D,Remote,esundaram@kamdar-manda.com,7300525,2026-01-24
HERO MOTOCORP LIMITED,"Pune, Maharashtra",66,70.92,69.1,B.A.,None,None,Biotechnology,Malayalam,Python; Sales; Java; C++,6,"Mumbai, Maharashtra",Internship at local startup,NLP sentiment analysis on reviews,Hackathon Winner,Journal article on Renewable Energy,Patent on Sensor Design,31743,9,Data Analytics,Remote,qdewan@lala.com,42206412,2025-10-25
COAL INDIA LTD GOVT OF INDIA UNDERTAKING,"Mumbai, Maharashtra",65,85.81,70.08,B.A.,Cisco CCNA,Coursera: Data Science; Advanced Excel,Mechanical,Malayalam; Oriya,R; Tableau; JavaScript; Java,12,"Visakhapatnam, Andhra Pradesh",No notable achievements,E-commerce recommendation engine,None,Whitepaper on Supply Chain,Patent on Sensor Design,18331,9,Design,Hybrid,nitarachokshi@mane.biz,6383075872,2025-10-16
MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,"Hyderabad, Telangana",83,86.45,76.2,B.Tech,None,None,Marketing,English; Telugu; Gujarati,SQL; HTML/CSS,24,"Lucknow, Uttar Pradesh",Developed a forecasting model,Mobile app for local services; Supply chain dashboard,Hackathon Winner,No publications,Patent on Sensor Design,21730,5,Engineering,Hybrid,ramakrishnanpari@ratti.net,699759312,2026-02-27
AMBUJA CEMENTS LIMITED,"Mumbai, Maharashtra",73,84.33,77.14,Bsc.,None,NPTEL: Machine Learning; Advanced Excel,Computer Science,Malayalam; Marathi,Sales; R,6,"Hyderabad, Telangana",No notable achievements,IoT based monitoring system; Sales forecasting model,Coding Contest Top 10,Journal article on Renewable Energy,Patent pending on Algorithm,34099,8,Data Analytics,Onsite,uvarghese@chauhan.com,1636163595,2026-03-05
INDUS TOWERS LIMITED,"Pune, Maharashtra",77,95.39,58.34,B.A.,Lean Six Sigma Yellow Belt,,Computer Science,Gujarati; English; Hindi,Python; Sales; R; Problem Solving,0,"Bhopal, Madhya Pradesh",Published a project report,E-commerce recommendation engine; Chatbot for FAQs,Coding Contest Top 10,No publications,Patent on Sensor Design,23424,12,Consulting,Hybrid,lthaker@sankar.com,1509336640,2026-02-02
CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,"Hyderabad, Telangana",61,55.28,54.88,B.E.,Certified Data Analyst,Udemy: Web Development,Chemical,Hindi; Bengali; Tamil,Power BI; MS Excel; Data Analysis,12,"Jaipur, Rajasthan",Internship at local startup,E-commerce recommendation engine,Math Olympiad State Level,Journal article on Renewable Energy,Patent on Process Optimization,11674,4,Design,Remote,deanika@chander.com,29217478,2025-11-05
SOUTH EASTERN COALFIELDS LIMITED,"Ahmedabad, Gujarat",61,94.85,79.13,B.A.,Lean Six Sigma Yellow Belt,,Electronics,Telugu; Bengali; Oriya,Machine Learning; Python; HTML/CSS; R,6,"Visakhapatnam, Andhra Pradesh",Internship at local startup,IoT based monitoring system,Business Plan Runner-up,Conference Paper on ML,Patent on Sensor Design,27312,8,Operations,Onsite,zaina02@chawla.biz,9999607190,2025-11-28
ASIAN PAINTS LIMITED,"Hyderabad, Telangana",95,82.56,74.31,B.A.,Financial Modeling Certificate,,Finance,Oriya; Gujarati,Customer Service; Python,12,"Lucknow, Uttar Pradesh",Developed a forecasting model,E-commerce recommendation engine; Energy consumption optimization project,Math Olympiad State Level,Conference Paper on ML,Patent on Sensor Design,27521,11,Consulting,Onsite,chirag12@lad.net,8351100560,2025-10-12
IBM INDIA PRIVATE LIMITED,"Jaipur, Rajasthan",82,56.65,51.25,B.Com,Financial Modeling Certificate,Advanced Excel,Electronics,Oriya; Kannada; Tamil,Python; Communication; Machine Learning; MS Excel,24,"Thiruvananthapuram, Kerala",Published a project report,Sales forecasting model; Chatbot for FAQs,None,Journal article on Renewable Energy,Patent on Sensor Design,13403,7,R&D,Onsite,anahisood@saha.net,3559998869,2026-02-06
GRASIM INDUSTRIES LTD,"Chennai, Tamil Nadu",63,76.93,53.28,BBA,Oracle Certified,,Electrical,English; Telugu,Java; R; HTML/CSS,24,"Hyderabad, Telangana",No notable achievements,Chatbot for FAQs; IoT based monitoring system,None,Magazine article on Finance,Patent on Process Optimization,9235,4,Operations,Hybrid,kabir98@tella-andra.com,8481134109,2025-12-08
SAMMAAN CAPITAL LIMITED,"Bhopal, Madhya Pradesh",88,57.42,51.89,B.Com,Financial Modeling Certificate,Google: Digital Marketing,Mechanical,Marathi; English; Gujarati,Power BI; MS Excel; Marketing,6,"Noida, Uttar Pradesh",No notable achievements,Energy consumption optimization project,Coding Contest Top 10,No publications,Patent pending on Algorithm,33444,5,Finance,Onsite,piya60@kumar.net,8615121,2026-01-19
BANDHAN BANK LIMITED,"Visakhapatnam, Andhra Pradesh",68,74.07,76.07,B.A.,None,,Finance,Oriya,Power BI; C++,0,"Bhopal, Madhya Pradesh",Published a project report,Mobile app for local services; Supply chain dashboard,None,Journal article on Renewable Energy,Patent on Process Optimization,29687,4,Marketing,Remote,taurora@handa.net,6443057149,2026-03-07
BIOP STEELS & POWER PRIVATE LIMITED,"Noida, Uttar Pradesh",68,82.86,60.25,Bsc.,Lean Six Sigma Yellow Belt,None,Civil,Gujarati; Bengali; Malayalam,JavaScript; R; Power BI; HTML/CSS; Problem Solving,6,"New Delhi, Delhi",Won college hackathon,IoT based monitoring system,Math Olympiad State Level,No publications,Patent pending on Algorithm,27039,5,IT,Hybrid,daliacharvi@shetty-gandhi.org,4686260874,2026-01-09
SHREE CEMENT LIMITED,"Visakhapatnam, Andhra Pradesh",90,55.8,69.26,B.E.,None,None,Finance,Malayalam; English,Tableau; Power BI; Marketing; Communication; Python,6,"Mumbai, Maharashtra",Won college hackathon,NLP sentiment analysis on reviews,Coding Contest Top 10,Whitepaper on Supply Chain,Patent pending on Algorithm,213,4,Design,Remote,saxenaazad@bhakta.com,6597981300,2026-01-06
